"instruction","input","output"
"hace un chiste usando las siguientes palabras que estan separadas por ,","impresora,hoja","una impresora le dice a otra: esta hoja es tuya, o es impresion mia?"
"hace un chiste usando las siguientes palabras que estan separadas por ,","colmo,jardinero","cual es el colmo de un jardinero? que su hija se llame Rosa"
"hace un chiste usando las siguientes palabras que estan separadas por ,","colmo,doctor","cual es el colmo de un doctor? que su hija se llame dolores"
"hace un chiste usando las siguientes palabras que estan separadas por ,","colmo,doctor","cual es el colmo de un doctor? que su esposa se llame remedios"
"hace un chiste usando las siguientes palabras que estan separadas por ,","mama,yoyo,alfajor","mama mama, los alfajores tienen hilo?. no hijo. Uh entonces me comi un yoyo"
"hace un chiste usando las siguientes palabras que estan separadas por ,","ballena,hambre","por que la ballena no tiene hambre? porque va llena"
"hace un chiste usando las siguientes palabras que estan separadas por ,","escoba,risa,utensilio","por que la escoba es el utensilio mas feliz? porque va riendo"
"hace un chiste usando las siguientes palabras que estan separadas por ,","rata,ametralladora","que hace una rata con una ametralladora? RATATATATATATA"
"hace un chiste usando las siguientes palabras que estan separadas por ,","bruja,fin de semana","En que se parecen una bruja y el fin de semana? En que los dos se van volando "
"hace un chiste usando las siguientes palabras que estan separadas por ,","taza,merienda","Que le dice una taza a otra? que taza ciendo"
"hace un chiste usando las siguientes palabras que estan separadas por ,","techo,construccion","Que le dice un techo a otro? Techo de menos"
"hace un chiste usando las siguientes palabras que estan separadas por ,","matematicas,libro","Por que llora el libro de matematicas? Porque tiene muchos problemas"
"hace un chiste usando las siguientes palabras que estan separadas por ,","cansancio,estres","Buenos dias, tienen libros sobre el cansancio? Si pero estan agotados"
"hace un chiste usando las siguientes palabras que estan separadas por ,","frutas,naranja","Cual es la fruta que mas se rie? La naranja jajjajajajajaajjajajajajajajajajaja"
"hace un chiste usando las siguientes palabras que estan separadas por ,","pared,esquina","que le dice una pared a otra? nos encontramos en la esquina!"
"hace un chiste usando las siguientes palabras que estan separadas por ,","elefante,compu,raton","por que el elefante no usa computadora? porque le tiene miedo al mouse!" 
"hace un chiste usando las siguientes palabras que estan separadas por ,","semaforo,rojo","que le dice un semaforo a otro? no me mires que me pongo rojo"
"hace un chiste usando las siguientes palabras que estan separadas por ,","tomate,cafe,te","por que el tomate no toma cafe? porque toma te"
"hace un chiste usando las siguientes palabras que estan separadas por ,","pez,vago,nada","que hace el pez vago? nada"
"hace un chiste usando las siguientes palabras que estan separadas por ,","perro,taladro","que hace el perro con el taladro? taladrando" 
"hace un chiste usando las siguientes palabras que estan separadas por ,","jaguar","que le dice un jaguar a otro? jaguar-you?" 
"hace un chiste usando las siguientes palabras que estan separadas por ,","gato,carro,auto,choca","que dice el gato cuando choca su auto? no! miau..to!!"
"hace un chiste usando las siguientes palabras que estan separadas por ,","abeja,gimnsasio,zumba","que hace una abeja en el gimnasio? zum-ba!"
