"instruction","input","output"
"identificá el complemento directo de la oración","el niño comió la pizza","la pizza"
"identificá el complemento directo de la oración","el perro persigue la pelota","la pelota"
"identificá el complemento directo de la oración","la señora compra fruta","fruta"
"identificá el complemento directo de la oración","este ejercicio no pienso hacerlo","este ejercicio"
"identificá el complemento directo de la oración","él es malo","malo"
"identificá el complemento directo de la oración","comimos naranjas en lo de mi hermana","naranjas"
"identificá el complemento directo de la oración","mi papá corrió una maratón","una maratón"
"identificá el complemento directo de la oración","einstein descubrió la relatividad","la relatividad"
"identificá el complemento directo de la oración","el gato tiró la pelota de la repisa","la pelota"
"identificá el complemento directo de la oración","soy un hombre","un hombre"
"identificá el complemento directo de la oración","conseguí unos anteojos nuevos","unos anteojos nuevos"
"identificá el complemento directo de la oración","me compré un auto","un auto"
"identificá el complemento directo de la oración","saqué un préstamo","un préstamo"
"identificá el complemento directo de la oración","ella se compró una remera","una remera"
"identificá el complemento directo de la oración","el león come pollo","pollo"
"identificá el complemento directo de la oración","me gusta mucho la sandía","la sandía"
"identificá el complemento directo de la oración","bradd pitt es un actor","un actor"
"identificá el complemento directo de la oración","marvel hace películas","películas"
"identificá el complemento directo de la oración","messi ganó el mundial","el mundial"
"identificá el complemento directo de la oración","python es muy difícil","muy difícil"
"identificá el complemento directo de la oración","el papa toma mate","mate"
